Model,Variant,Manufacturer,Type,Gamma,Category_CC,TotalRob,Umbral,%Umbral
147,All,Alfa Romeo,B: SMALL SALOONS,baja,3200cc-4800cc,91,"0,003202509885682","0,32"
33& 145& 146& 1750& Arna,All,Alfa Romeo,B: SMALL SALOONS,baja,1500cc – 2000cc,72,"0,003202509885682","0,32"
75& 2000& Alfetta& Giulietta,All,Alfa Romeo,C: MEDIUM SALOONS,alta,2000cc-2500cc,8,"0,003202509885682","0,32"
155& 156,All,Alfa Romeo,C: MEDIUM SALOONS,ata,2500cc-3200cc,298,"0,003202509885682","0,32"
GT,All,Alfa Romeo,C: MEDIUM SALOONS,alta,1500cc – 2000cc,10,"0,003202509885682","0,32"
164& 166& Alfa,All,Alfa Romeo,D: LARGE SALOONS,baja,1500cc – 2000cc,46,"0,003202509885682","0,32"
Alfasud& GTV& Spider& Sprint,All,Alfa Romeo,F: SPORTS,alta,2000cc-2500cc,114,"0,003202509885682","0,32"
A2,All,Audi,A: MINIS & SUPERMINIS,media,menor 1500cc,75,"0,01924011807689","1,92"
A3,All,Audi,B: SMALL SALOONS,baja,2000cc-2500cc,612,"0,01924011807689","1,92"
80,All,Audi,C: MEDIUM SALOONS,alta,2000cc-2500cc,407,"0,01924011807689","1,92"
90,All,Audi,C: MEDIUM SALOONS,baja,3200cc-4800cc,36,"0,01924011807689","1,92"
A4& Avant,All,Audi,C: MEDIUM SALOONS,baja,mayor 4800cc,1317,"0,01924011807689","1,92"
100& 200,All,Audi,D: LARGE SALOONS,baja,2000cc-2500cc,113,"0,01924011807689","1,92"
A6& S6,All,Audi,D: LARGE SALOONS,alta,3200cc-4800cc,346,"0,01924011807689","1,92"
Cabriolet& Coupe,All,Audi,D: LARGE SALOONS,alta,mayor 4800cc,123,"0,01924011807689","1,92"
A8& S8& V8,All,Audi,E: LUXURY SALOONS,alta,2000cc-2500cc,71,"0,01924011807689","1,92"
Quattro,All,Audi,F: SPORTS,baja,2500cc-3200cc,14,"0,01924011807689","1,92"
S (S3 Quatrro and S4 Quattro),All,Audi,F: SPORTS,baja,1500cc – 2000cc,140,"0,01924011807689","1,92"
TT,All,Audi,F: SPORTS,baja,2000cc-2500cc,559,"0,01924011807689","1,92"
A6 Allroad,All,Audi,G: 4x4 & PEOPLE CARRIER,alta,mayor 4800cc,26,"0,01924011807689","1,92"
Metro,City,Austin/Morris,A: MINIS & SUPERMINIS,media,2500cc-3200cc,322,"0,007552711107547","0,76"
Metro,L& LE,Austin/Morris,A: MINIS & SUPERMINIS,media,3200cc-4800cc,306,"0,007552711107547","0,76"
Metro,MG,Austin/Morris,A: MINIS & SUPERMINIS,media,1500cc – 2000cc,57,"0,007552711107547","0,76"
Metro,Other,Austin/Morris,A: MINIS & SUPERMINIS,media,2000cc-2500cc,224,"0,007552711107547","0,76"
Mini,All,Austin/Morris,A: MINIS & SUPERMINIS,alta,2500cc-3200cc,234,"0,007552711107547","0,76"
Minor,All,Austin/Morris,A: MINIS & SUPERMINIS,alta,1500cc – 2000cc,72,"0,007552711107547","0,76"
1100& 1300& Cowley& Oxford,All,Austin/Morris,B: SMALL SALOONS,baja,2500cc-3200cc,0,"0,007552711107547","0,76"
Allegro& Ital,All,Austin/Morris,B: SMALL SALOONS,alta,1500cc – 2000cc,14,"0,007552711107547","0,76"
Maestro,L& LE,Austin/Morris,B: SMALL SALOONS,alta,2000cc-2500cc,85,"0,007552711107547","0,76"
